replicate,n_unique_samples,n_oob_samples,shap_signed__Hematotoxicity,shap_signed__Immunotoxicity,shap_signed__Oxidative_Stress,shap_signed__Metabolism_Energy,shap_signed__Morphological_Development,shap_signed__Cardiovascular_Angiogenesis,shap_signed__Apoptosis_Proliferation,shap_signed__Behavior_Neuro,shap_signed__Endocrine_Thyroid,shap_signed__General_Fitness,shap_signed__Endocrine_Reproductive,shap_signed__Effect Measurement_LOO,shap_signed__SMR_VSA1,shap_signed__VSA_EState5,shap_signed__MolLogP,shap_signed__Chi1v,shap_signed__VSA_EState2,shap_signed__SlogP_VSA3,shap_signed__Chi4v,shap_signed__AvgIpc,shap_signed__NumValenceElectrons,shap_signed__Chi0,shap_signed__SMR_VSA5,shap_signed__Ipc,shap_signed__VSA_EState7,shap_signed__Kappa2,shap_signed__Chi4n,shap_signed__VSA_EState9,shap_signed__Chi1,shap_signed__SlogP_VSA2,shap_abs__Hematotoxicity,shap_abs__Immunotoxicity,shap_abs__Oxidative_Stress,shap_abs__Metabolism_Energy,shap_abs__Morphological_Development,shap_abs__Cardiovascular_Angiogenesis,shap_abs__Apoptosis_Proliferation,shap_abs__Behavior_Neuro,shap_abs__Endocrine_Thyroid,shap_abs__General_Fitness,shap_abs__Endocrine_Reproductive,shap_abs__Effect Measurement_LOO,shap_abs__SMR_VSA1,shap_abs__VSA_EState5,shap_abs__MolLogP,shap_abs__Chi1v,shap_abs__VSA_EState2,shap_abs__SlogP_VSA3,shap_abs__Chi4v,shap_abs__AvgIpc,shap_abs__NumValenceElectrons,shap_abs__Chi0,shap_abs__SMR_VSA5,shap_abs__Ipc,shap_abs__VSA_EState7,shap_abs__Kappa2,shap_abs__Chi4n,shap_abs__VSA_EState9,shap_abs__Chi1,shap_abs__SlogP_VSA2
0,174,89,9.751125912242108e-05,-0.0636167781369241,-0.0363089376450679,-0.0021619975247017,-0.0187622999010391,-0.045274930517094,-0.0013628674124178,0.0104344910664953,-0.0359676010758576,-0.0138278538576632,-0.0227817243794485,-0.4768321468055508,-0.0077260882449871,-0.0110317735965887,-0.0180241674755274,-0.0025548665480479,-0.0124071994705606,-0.0088839904054224,-0.0025382717872964,-0.0058797315680668,-0.0100429204060096,-0.0051250418053611,-0.005181118440918,-0.0081895105117596,-0.0043353222243661,-0.0057550909571298,0.0012871043566397,-0.0025698332673206,-0.0061032030860397,-0.0083603812368126,0.0003461535190066,0.338002222027592,0.1029988629605004,0.0069730025879671,0.087223038667261,0.2960215050733437,0.0168168106029118,0.1566560201379734,0.1457963052817805,0.1300084989989822,0.1425327953862805,1.339609136084028,0.0373888182442033,0.0813339410425003,0.0508110908223586,0.0280525739074026,0.0510150935958246,0.0826918086208829,0.0239676383854976,0.0380073516520687,0.0306326763264506,0.025502542754908,0.0271721488979554,0.0323025358997828,0.0518149861208197,0.0247039402430911,0.034277380292545,0.0144094344021355,0.0401189977196983,0.0478909629625603
1,163,100,-6.391977164521474e-05,-0.1575094746520061,-0.0074340967615858,-0.0228427884977151,-0.0174427334922094,-0.0376583901311768,-0.0109538830247932,-0.0327310254468178,0.0047969771900163,-0.0161009487917288,-0.0346099946837267,-0.4543982948771036,-0.0169660955365254,-0.0151822699740961,-0.0101338770751032,-0.0094582581505878,-0.0081875211445131,-0.0122031393992725,-0.0006707598318994,-0.0044676910587489,-0.0076095057808123,0.0010600052256445,-0.0099981650545071,-0.0135645518045181,-0.0211423369157781,-0.0071840301416052,0.0026551934404355,-0.004314264629794,-0.0029017502012428,-0.0089096678925069,0.0064221442986196,0.4972666304468011,0.226619599419322,0.0681738935093607,0.0893507447784279,0.1043913576637496,0.0383589346332943,0.2434888401284555,0.150632809848119,0.0951240567727353,0.1767293028440304,1.4089880322918038,0.0384394813789409,0.0752328679033843,0.0424211975035936,0.0317024533938976,0.0508088349177538,0.1070282061679125,0.0742590199183687,0.0368448881759386,0.0432769273303097,0.0242290060597443,0.0379606541140762,0.0363142444719273,0.0822987174355259,0.0373819437877227,0.0190203808515663,0.019692762405267,0.0248265916218725,0.0415868158544733
2,164,99,-0.0283309975444285,-0.1237803830706763,-0.0254727757067494,-0.000102272572964,-0.0058015269954133,-0.0377708661172967,-0.008358862059699,-0.0297977677353288,-0.0072362034730616,-0.0112199818097408,-0.0069832437916246,-0.3362671403774432,0.009651598348048,-0.0554347092012789,-0.0168318191592662,-0.0070773787497862,-0.0231737595225554,-0.0174069311793905,-0.0047970038871107,-0.0050823129613247,-0.0089947909290617,-0.00079867556417,-0.0062668662757902,-0.0170041473119265,-0.010709623679619,-0.0199795530747056,-0.0081398648038186,0.0027438128498714,-0.007206400914308,-0.0187339674638413,0.0591826589380809,0.4845332419596089,0.2387918263331217,0.0200546745463233,0.0267148714006775,0.0744575677049348,0.0379308027429224,0.223212489212867,0.1853594145024935,0.0428337323844583,0.1173980953836518,1.1234202611138386,0.0278732937149585,0.220624799018843,0.0516926850105463,0.0628948163178667,0.0883176047292899,0.1101033884457128,0.041963662836512,0.0463788537900466,0.0272499898830383,0.0141123958993523,0.025649769866426,0.0291710454076992,0.0555840776268432,0.0486984160084515,0.0447916760444777,0.0392987360448428,0.0296529160557602,0.0476530886166609
3,157,106,0.0023232363516261,-0.0924180430255291,-0.0048667817585715,0.0007472796123333,-0.0189370534502993,-0.0120478649629419,-0.0020752445706383,-0.0328129757223812,0.0098461533453778,-0.0215927884375883,-0.0246354276074808,-0.2018989539013662,-0.0008599400843108,-0.0184498301696327,-0.0071435004730056,-0.0099243999396923,0.0015158465120083,0.003240574464778,-0.0014622313046928,-0.0050301790921541,0.003140534442083,-0.0030209992658283,-0.0120205848858672,-0.0095275638011782,-0.0174022911327479,-0.0004332858334965,-0.0083305579150924,-0.0099221349649354,-0.0045724682430125,-7.314189037578234e-05,0.0275009085382155,0.3154424499862932,0.1030301517898406,0.0140737276808934,0.1320861475340156,0.1609054888826107,0.0152439334715119,0.1005061729805004,0.1336296160264481,0.0984400451206866,0.1416456041332359,1.188983924693606,0.0340895073614838,0.0598977536710649,0.0602766023401229,0.0747646800940353,0.0868439876147373,0.0690663359566715,0.0826418721367816,0.0592386657493119,0.0312600696921502,0.0344847103185985,0.0469284603634213,0.0347674266836193,0.0942094523429937,0.0235542763042058,0.0529811525564373,0.0379605952037625,0.0321156278223464,0.0561555765403625
4,156,107,0.0018354627860595,-0.0857471777395112,-0.005361967517533,0.007796623776997,-0.0072053349073886,-0.0232463173412865,-0.0015571417228215,-4.841213393365336e-06,-0.0343343325115972,-0.0112844320905755,0.0010089529068574,-0.2408617916126329,-0.0119660593089907,-0.0312203918668679,-0.0151136986933102,-0.0144457392745001,-0.0457559500396637,-0.0270421968408061,-0.0027809820320386,-0.0084067894227093,-0.0042415341739104,-0.0083338156099189,-0.0166758001208726,0.0006679967607463,-0.0235705179639488,-0.0115583322231006,-0.007968605989357,-0.0092069045763835,-0.0033490422711352,-0.0033327175513219,0.0066076245044283,0.3346988090885984,0.1822915262992137,0.0224478495619195,0.1319940250477879,0.1458711249318618,0.0144072479340594,0.2849266415111449,0.2282322372659286,0.0413744637039963,0.1171040380499133,1.2216422276896637,0.0325259530364235,0.064830431537305,0.0374050672967052,0.0381884736016157,0.1087874994069038,0.0854293099518439,0.0333915878987476,0.0259358760927846,0.021141050807581,0.0233658786748381,0.028593837317595,0.019444209849902,0.082166426794986,0.0256732823548368,0.0365522333347395,0.0330716982244082,0.0177711225628014,0.0412263070673027
5,169,94,-0.0092925045450825,-0.0519435492402342,0.0082523360531917,0.0066430777962454,-0.0213501129851074,-0.0010522113607802,-0.0006309358721841,0.0030465454874908,-0.0177986752560681,0.0203319019533896,-0.0271889883785954,-0.3799888830135044,-0.0172618981991029,-0.0370073369800908,-0.0079984433289168,-0.0138944451727186,-0.0377274756412646,-0.0056973307880649,-0.0237686263814493,-0.0173152835534401,-0.0022018796210412,-0.0080294340479738,-0.0065908251853105,-0.0119183613088026,-0.0193541265910203,-0.0157347588453344,-0.0038400482279108,-0.0073391152549543,-0.0047653351458423,-0.0122036496972795,0.0538202445339729,0.3546040782049566,0.1227632164071557,0.0317343396394014,0.0705348655287211,0.0791622630152909,0.0071335420340963,0.1578983523066039,0.1605995843000187,0.1440805639381008,0.208768992761814,1.2165621395427324,0.046024534139956,0.1129554975779889,0.0389525732265429,0.0396800591710392,0.1692517161639576,0.0779024778973154,0.0476155294168137,0.0542386794035502,0.0320990581255967,0.057025633242917,0.0450391681045656,0.0298428133105623,0.0864642317955628,0.0531850292583284,0.0326419203616249,0.0197772359543938,0.0363467428039655,0.0456699428744683
6,171,92,-0.0056345499480924,-0.0453126429819153,-0.0361366146825848,-0.0008087890292739,-0.0270074623704071,-0.0248869700200447,-0.0200595912446241,-0.0078849431877359,-0.0525691241761327,-0.0182312106285974,-0.0180709792164071,-0.3511614308809321,-0.0002316223073704,-0.026002680056384,-0.001064803273249,-0.0073245314622724,-0.0071181260674729,0.0038441952188404,-0.0089837519665969,0.0014994440161319,-0.0004055319708599,0.0005696716330022,-0.0094494014982275,-0.0030315856346832,-0.0246780036953894,-0.0147243957321118,0.0010380539404669,-0.0111402976820539,-0.0086488542988364,-0.0046533272199837,0.1252300511216151,0.3409569772001671,0.1272240217939383,0.0033186990307285,0.1056816893454387,0.0961831029157299,0.0662701999183005,0.1357071301329133,0.1930042217249281,0.1405403344141351,0.0490288603701739,1.3336822226996623,0.024260486238958,0.193808911827898,0.0368841486238925,0.0341210730177229,0.0879364267360401,0.080159222309234,0.0300660103783503,0.0177397560570938,0.0188467944220398,0.0201303696618637,0.0257083580965104,0.0273791049722347,0.1030244819840483,0.048599536354108,0.0214882429247362,0.0389180887366054,0.0229882164045224,0.0273197925522677
7,171,92,-0.029273562548778,-0.1328846109571521,-0.0062092298361719,0.0082248217601904,-0.0113027622021472,-0.0026372081836919,-0.009184528992321,0.0134530303250483,-0.0057913864679346,0.0291961273073359,0.0060866531893454,-0.4005622433731987,-0.0171539466286554,-0.0153195127913008,-0.0116121010115327,-0.0208619443406602,-0.0007050225264056,0.0004507306372104,0.0010713561159174,-0.0061735156404644,-0.0098786981668069,-0.0103274610399236,-0.0152974444351329,0.0012301836541505,-0.016823100722255,-0.0045700851259702,-0.0138267399112021,-0.0038387464594459,-0.011012625802147,-0.0104444051851178,0.0659447240976228,0.4249918076006069,0.0737110889084587,0.029752372086911,0.0681288075595331,0.0365930835239963,0.0552248067714185,0.2311899829373866,0.1663957122424612,0.1535309657743517,0.1042129308927582,1.2937384539145411,0.0515590045060011,0.0916109629532371,0.0914239528477634,0.0523526794909197,0.0382476557862248,0.0344577772274199,0.0292563750685938,0.0294712870921655,0.0274019790466027,0.0282018272383906,0.030435414564986,0.0445668844242932,0.065298709923817,0.0663389775277671,0.0517739212897414,0.0184595966095802,0.0488784814262153,0.049803152002271
8,165,98,0.009091759178032,-0.1363264990640755,0.0006529826339799,0.0155862326378686,0.0088000097304883,-0.0128562440352688,-0.0068316056186215,-0.0691046866439939,-0.012409005989044,0.0003505222630637,-0.0301705827755418,-0.3328365924517538,-0.0046030492128777,-0.0219908871187133,-0.014854521406555,-0.0041078369389037,0.0004733443675194,-0.014578041097017,-0.0015148204243971,-0.008347809290239,-0.0025025568156351,-0.0073491079245563,-0.0015792200843663,-0.0120225723456719,-0.0023582454037346,-0.0138380737891063,-0.0058226296586568,-0.0040811988272652,-0.005989573669157,-0.0070670929451431,0.0221740911048857,0.3742207582464394,0.0545501608245311,0.0303848866542199,0.08216783492951,0.0578702328355333,0.0287098899892011,0.3340335045454094,0.1805141500781351,0.1361162212432814,0.1708080435250312,1.2865768279610257,0.026022533296932,0.140789184569114,0.0773060718626682,0.0374500128498564,0.040457903498201,0.0526564843335637,0.0219140385082114,0.0414719816507008,0.0210791845575782,0.0357330789202148,0.0133541330034874,0.0336202966595876,0.1003297915503352,0.0343978227851229,0.0397304153932698,0.0290471656315311,0.0268566707307216,0.0264512888871937
9,177,86,-0.0005574875801087,0.0076593715283526,-0.0190262489648432,-0.0012989171037828,-0.0112913901252126,-0.0009618960241349,0.0039574819802505,-0.022492359702487,-0.0308559165641881,-0.0380868702587793,-0.0418313504128498,-0.2275218076613814,-0.0025153246343734,-0.0200728461618605,-0.0028613159485941,-0.0177134495985949,-0.0089624959315099,-0.0024269939916983,-0.0052175710950184,-0.0045178149639702,-0.008856257226649,-0.0057093793372665,0.0026783457313811,-0.005719469086601,-0.008458455580357,-0.0050864299325074,-0.0012946940583839,-0.00913684566931,-0.00438855901154,-0.0016554352550425,0.0054772035335002,0.2932457250273694,0.2231519207822988,0.00498093352507,0.0594027101490619,0.1812341277918705,0.0320379981537106,0.1808014635559474,0.1681583835988229,0.0935305696850631,0.2054215087151444,0.9910674230864364,0.0612923384614311,0.1371517669430007,0.0700535979761104,0.1028693140954149,0.0557416947272661,0.064730645546588,0.0308204398967894,0.050314184899885,0.0311359860969085,0.041822339242197,0.0257643905970666,0.0532023114195111,0.0486603161459012,0.0824991471457737,0.0403533825510155,0.0434084764099132,0.0422530965107821,0.0327770468718921
